n, t, len
9301, 0.009268045425415039, 1
9401, 0.006287097930908203, 1
9501, 0.006370067596435547, 1
9601, 0.00799107551574707, 1
9701, 0.008069276809692383, 1
9801, 0.006093740463256836, 1
9901, 0.00624394416809082, 1
10001, 0.00971221923828125, 1
10101, 0.006276845932006836, 1
10201, 0.0077898502349853516, 1
10301, 0.0074231624603271484, 1
10401, 0.00941610336303711, 1
10501, 0.006530046463012695, 1
10601, 0.009438037872314453, 1
10701, 0.0062181949615478516, 1
10801, 0.006456851959228516, 1
10901, 0.00796198844909668, 1
11001, 0.0066127777099609375, 1
11101, 0.008445024490356445, 1
11201, 0.0060901641845703125, 1
11301, 0.009783029556274414, 1
11401, 0.006407737731933594, 1
11501, 0.006865978240966797, 1
11601, 0.007342100143432617, 1
11701, 0.008244991302490234, 1
11801, 0.006125688552856445, 1
11901, 0.006146907806396484, 1
12001, 0.00960683822631836, 1
12101, 0.006372928619384766, 1
12201, 0.007962226867675781, 1
12301, 0.006376981735229492, 1
12401, 0.011162757873535156, 1
12501, 0.006426095962524414, 1
12601, 0.006307125091552734, 1
12701, 0.006475925445556641, 1
12801, 0.0064127445220947266, 1
12901, 0.0076808929443359375, 1
13001, 0.007841110229492188, 1
13101, 0.009451866149902344, 1
13201, 0.006330251693725586, 1
13301, 0.006457090377807617, 1
13401, 0.006306886672973633, 1
13501, 0.006997108459472656, 1
13601, 0.006999015808105469, 1
13701, 0.007742881774902344, 1
13801, 0.0095977783203125, 1
13901, 0.006523847579956055, 1
14001, 0.0062558650970458984, 1
14101, 0.0065538883209228516, 1
14201, 0.007747173309326172, 1
14301, 0.006362199783325195, 1
14401, 0.00804901123046875, 1
14501, 0.009224891662597656, 1
14601, 0.0064771175384521484, 1
14701, 0.006242990493774414, 1
14801, 0.0063381195068359375, 1
14901, 0.007837295532226562, 1
15001, 0.006244659423828125, 1
15101, 0.0077381134033203125, 1
15201, 0.009525060653686523, 1
15301, 0.006354808807373047, 1
15401, 0.006487131118774414, 1
15501, 0.006966114044189453, 1
15601, 0.007306814193725586, 1
15701, 0.008152961730957031, 1
15801, 0.009673118591308594, 1
15901, 0.0061948299407958984, 1
16001, 0.007318019866943359, 1
16101, 0.006672859191894531, 1
16201, 0.008131265640258789, 1
16301, 0.007879972457885742, 1
16401, 0.006178140640258789, 1
16501, 0.009458303451538086, 1
16601, 0.006370067596435547, 1
16701, 0.006296634674072266, 1
16801, 0.0070378780364990234, 1
16901, 0.007113933563232422, 1
17001, 0.007631063461303711, 1
17101, 0.006253719329833984, 1
17201, 0.009316682815551758, 1
17301, 0.006597995758056641, 1
17401, 0.006323099136352539, 1
17501, 0.007153987884521484, 1
17601, 0.0071599483489990234, 1
17701, 0.008477926254272461, 1
17801, 0.0060460567474365234, 1
17901, 0.009516000747680664, 1
18001, 0.006429910659790039, 1
18101, 0.0064640045166015625, 1
18201, 0.008366823196411133, 1
18301, 0.00797581672668457, 1
18401, 0.006231069564819336, 1
18501, 0.006416797637939453, 1
18601, 0.009331941604614258, 1
18701, 0.006385087966918945, 1
18801, 0.007074832916259766, 1
18901, 0.007147073745727539, 1
19001, 0.00800180435180664, 1
19101, 0.0061817169189453125, 1
19201, 0.009308099746704102, 1
19301, 0.006657123565673828, 1
19401, 0.0063250064849853516, 1
19501, 0.008005857467651367, 1
19601, 0.00670170783996582, 1
19701, 0.007871866226196289, 1
19801, 0.00617218017578125, 1
19901, 0.009432077407836914, 1
20001, 0.00652313232421875, 1
20101, 0.006494283676147461, 1
20201, 0.007857084274291992, 1
20301, 0.006514310836791992, 1
20401, 0.007837295532226562, 1
20501, 0.006066083908081055, 1
20601, 0.00953817367553711, 1
20701, 0.006418943405151367, 1
20801, 0.0068318843841552734, 1
20901, 0.007437705993652344, 1
21001, 0.008498191833496094, 1
21101, 0.006106853485107422, 1
21201, 0.0062999725341796875, 1
21301, 0.009211063385009766, 1
21401, 0.006353855133056641, 1
21501, 0.009095907211303711, 1
21601, 0.00661015510559082, 1
21701, 0.008153915405273438, 1
21801, 0.00617218017578125, 1
21901, 0.008422136306762695, 1
22001, 0.0070841312408447266, 1
22101, 0.006657600402832031, 1
22201, 0.00817108154296875, 1
22301, 0.007907867431640625, 1
22401, 0.006317853927612305, 1
22501, 0.006206989288330078, 1
22601, 0.009574174880981445, 1
22701, 0.00623321533203125, 1
22801, 0.007081031799316406, 1
22901, 0.00759577751159668, 1
23001, 0.008304834365844727, 1
23101, 0.006203889846801758, 1
23201, 0.0060460567474365234, 1
23301, 0.009673833847045898, 1
23401, 0.006476879119873047, 1
23501, 0.008164167404174805, 1
23601, 0.0066089630126953125, 1
23701, 0.008189201354980469, 1
23801, 0.006101846694946289, 1
23901, 0.00651860237121582, 1
24001, 0.009616851806640625, 1
24101, 0.006249904632568359, 1
24201, 0.007992267608642578, 1
24301, 0.008074045181274414, 1
24401, 0.009835958480834961, 1
24501, 0.0063629150390625, 1
24601, 0.006373882293701172, 1
24701, 0.0063321590423583984, 1
24801, 0.008239030838012695, 1
24901, 0.006406068801879883, 1
25001, 0.009213924407958984, 1
25101, 0.008053064346313477, 1
25201, 0.00632476806640625, 1
25301, 0.006452083587646484, 1
25401, 0.006599903106689453, 1
25501, 0.007753133773803711, 1
25601, 0.007999897003173828, 1
