n, s
10901, 0.057311058044433594
11001, 0.06656384468078613
11101, 0.05420112609863281
11201, 0.06182122230529785
11301, 0.06253504753112793
11401, 0.06495881080627441
11501, 0.06432700157165527
11601, 0.06611108779907227
11701, 0.059413909912109375
11801, 0.0656282901763916
11901, 0.06637382507324219
12001, 0.06773710250854492
12101, 0.06711196899414062
12201, 0.0811760425567627
12301, 0.0760037899017334
12401, 0.07114601135253906
12501, 0.06627678871154785
12601, 0.07160806655883789
12701, 0.07741904258728027
12801, 0.07442188262939453
12901, 0.08247518539428711
13001, 0.08391380310058594
13101, 0.09360408782958984
13201, 0.09749293327331543
13301, 0.08426403999328613
13401, 0.0837559700012207
13501, 0.08040714263916016
13601, 0.08655977249145508
13701, 0.09036588668823242
13801, 0.09638404846191406
13901, 0.09818816184997559
14001, 0.09560799598693848
14101, 0.09364032745361328
14201, 0.10012698173522949
14301, 0.09782600402832031
14401, 0.09292006492614746
14501, 0.1080009937286377
14601, 0.10750174522399902
14701, 0.10515832901000977
14801, 0.10308098793029785
14901, 0.1015310287475586
15001, 0.10901975631713867
15101, 0.10408186912536621
15201, 0.10226082801818848
15301, 0.10047411918640137
15401, 0.10772490501403809
15501, 0.11397886276245117
15601, 0.11675405502319336
15701, 0.1189260482788086
15801, 0.12030315399169922
15901, 0.11907672882080078
16001, 0.11881685256958008
16101, 0.11768913269042969
16201, 0.12321090698242188
16301, 0.12431597709655762
16401, 0.12577009201049805
16501, 0.11935830116271973
16601, 0.1365671157836914
16701, 0.13182616233825684
16801, 0.13146018981933594
16901, 0.13088083267211914
17001, 0.13901209831237793
17101, 0.13731122016906738
17201, 0.14267778396606445
17301, 0.137969970703125
17401, 0.16022396087646484
17501, 0.15381097793579102
17601, 0.1444568634033203
17701, 0.15072298049926758
17801, 0.1573939323425293
17901, 0.14777803421020508
18001, 0.19674301147460938
18101, 0.19907808303833008
18201, 0.1575019359588623
18301, 0.1649799346923828
18401, 0.15576720237731934
18501, 0.16505002975463867
18601, 0.16626906394958496
18701, 0.16395211219787598
18801, 0.22046113014221191
18901, 0.1689929962158203
19001, 0.1645193099975586
19101, 0.16775012016296387
19201, 0.1668531894683838
19301, 0.1680908203125
19401, 0.17422986030578613
19501, 0.18247413635253906
19601, 0.1684253215789795
19701, 0.17213106155395508
19801, 0.1800537109375
19901, 0.1810770034790039
20001, 0.18084073066711426
20101, 0.17026996612548828
20201, 0.18472981452941895
20301, 0.1861097812652588
20401, 0.18334412574768066
20501, 0.1793968677520752
20601, 0.19073915481567383
20701, 0.19109511375427246
20801, 0.18888497352600098
20901, 0.18791508674621582
21001, 0.18746209144592285
21101, 0.184539794921875
21201, 0.18966889381408691
21301, 0.19325494766235352
21401, 0.20512890815734863
21501, 0.20356988906860352
21601, 0.20687484741210938
21701, 0.20037412643432617
21801, 0.19842886924743652
21901, 0.20787715911865234
22001, 0.20313000679016113
22101, 0.21065211296081543
22201, 0.20625829696655273
22301, 0.2120041847229004
22401, 0.21804523468017578
22501, 0.21480607986450195
22601, 0.21889805793762207
22701, 0.2158069610595703
22801, 0.21741294860839844
22901, 0.21872305870056152
23001, 0.22104382514953613
23101, 0.22387194633483887
23201, 0.23359394073486328
23301, 0.22145915031433105
23401, 0.22799301147460938
23501, 0.22213983535766602
23601, 0.22567415237426758
23701, 0.24184918403625488
23801, 0.24510598182678223
23901, 0.23105216026306152
24001, 0.2381591796875
24101, 0.23489999771118164
24201, 0.23735690116882324
24301, 0.24663782119750977
24401, 0.25579214096069336
24501, 0.27086424827575684
24601, 0.28217601776123047
24701, 0.36302709579467773
24801, 0.2879750728607178
24901, 0.2677462100982666
25001, 0.26829099655151367
25101, 0.27085399627685547
25201, 0.2685379981994629
25301, 0.26155996322631836
25401, 0.2664620876312256
25501, 0.3027489185333252
25601, 0.3252241611480713
25701, 0.30649495124816895
25801, 0.3199319839477539
25901, 0.2783069610595703
26001, 0.28041911125183105
26101, 0.2716357707977295
26201, 0.2843630313873291
26301, 0.27976298332214355
26401, 0.2784121036529541
26501, 0.2800440788269043
26601, 0.3158271312713623
26701, 0.3459939956665039
26801, 0.31427001953125
26901, 0.3156299591064453
27001, 0.2977747917175293
27101, 0.3155231475830078
27201, 0.3850870132446289
27301, 0.33522772789001465
27401, 0.3222508430480957
27501, 0.4137909412384033
27601, 0.3514890670776367
27701, 0.37612128257751465
27801, 0.36016106605529785
27901, 0.3632521629333496
28001, 0.33232831954956055
28101, 0.31470203399658203
28201, 0.316957950592041
28301, 0.31811094284057617
28401, 0.35102415084838867
28501, 0.3291928768157959
28601, 0.3168220520019531
28701, 0.31777429580688477
28801, 0.3213319778442383
28901, 0.3266870975494385
29001, 0.33714795112609863
29101, 0.3510150909423828
29201, 0.4666249752044678
29301, 0.3554050922393799
29401, 0.34554409980773926
29501, 0.3629741668701172
