n, s
161, 0.0015041828155517578
162, 0.0009748935699462891
163, 0.000885009765625
164, 0.0009641647338867188
165, 0.0008809566497802734
166, 0.0008871555328369141
167, 0.0009007453918457031
168, 0.0009069442749023438
169, 0.0009119510650634766
170, 0.0009248256683349609
171, 0.0020780563354492188
172, 0.0018520355224609375
173, 0.0009679794311523438
174, 0.000926971435546875
175, 0.000946044921875
176, 0.0009911060333251953
177, 0.001004934310913086
178, 0.001199960708618164
179, 0.0010533332824707031
180, 0.0018811225891113281
181, 0.0018737316131591797
182, 0.0010790824890136719
183, 0.0010979175567626953
184, 0.001127004623413086
185, 0.0010361671447753906
186, 0.0010402202606201172
187, 0.0010571479797363281
188, 0.0011489391326904297
189, 0.0018761157989501953
190, 0.0020208358764648438
191, 0.001110076904296875
192, 0.0010979175567626953
193, 0.0010981559753417969
194, 0.0011188983917236328
195, 0.0011718273162841797
196, 0.0012328624725341797
197, 0.0012421607971191406
198, 0.001989126205444336
199, 0.0013148784637451172
200, 0.0011436939239501953
201, 0.0011432170867919922
202, 0.001249074935913086
203, 0.001142740249633789
204, 0.001154184341430664
205, 0.0011861324310302734
206, 0.002485036849975586
207, 0.0022759437561035156
208, 0.0012080669403076172
209, 0.0011992454528808594
210, 0.0011909008026123047
211, 0.0013501644134521484
212, 0.0012197494506835938
213, 0.002321958541870117
214, 0.002372264862060547
215, 0.001291036605834961
216, 0.0012290477752685547
217, 0.001232147216796875
218, 0.0013921260833740234
219, 0.0012516975402832031
220, 0.0013608932495117188
221, 0.0026788711547851562
222, 0.0016827583312988281
223, 0.0014111995697021484
224, 0.0012879371643066406
225, 0.0012888908386230469
226, 0.001294851303100586
227, 0.0013020038604736328
228, 0.0019419193267822266
229, 0.0022161006927490234
230, 0.0016100406646728516
231, 0.0015292167663574219
232, 0.0013358592987060547
233, 0.0015540122985839844
234, 0.0014579296112060547
235, 0.002724170684814453
236, 0.0016162395477294922
237, 0.001544952392578125
238, 0.001378774642944336
239, 0.0013611316680908203
240, 0.0013608932495117188
241, 0.0013849735260009766
242, 0.002908945083618164
243, 0.0016751289367675781
244, 0.0013921260833740234
245, 0.0014810562133789062
246, 0.0013959407806396484
247, 0.0016231536865234375
248, 0.0016551017761230469
249, 0.0029871463775634766
250, 0.0014688968658447266
251, 0.0018072128295898438
252, 0.003663778305053711
253, 0.001657724380493164
254, 0.0034089088439941406
255, 0.0014901161193847656
256, 0.0014977455139160156
257, 0.0014438629150390625
258, 0.0014469623565673828
259, 0.0016679763793945312
260, 0.003390073776245117
261, 0.002089977264404297
262, 0.00152587890625
263, 0.001753091812133789
264, 0.0015060901641845703
265, 0.0017032623291015625
266, 0.0031821727752685547
267, 0.0017390251159667969
268, 0.0015592575073242188
269, 0.0015270709991455078
270, 0.0015420913696289062
271, 0.0026187896728515625
272, 0.0029630661010742188
273, 0.001583099365234375
274, 0.0015630722045898438
275, 0.001912832260131836
276, 0.0016047954559326172
277, 0.003111124038696289
278, 0.0025930404663085938
279, 0.001600027084350586
280, 0.001611948013305664
281, 0.0016629695892333984
282, 0.0031778812408447266
